Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,GoodCustomer
67,1,2,1,0,1,1169,6,personal,Yes
22,0,2,1,1,2,5951,48,personal,No
49,1,1,1,1,0,2096,12,investment,Yes
45,1,2,0,1,1,7882,42,personal,Yes
53,1,2,0,1,1,4870,24,leisure,No
35,1,1,0,0,0,9055,36,investment,Yes
53,1,2,1,4,0,2835,24,personal,Yes
35,1,3,1,1,2,6948,36,leisure,Yes
61,1,1,1,3,0,3059,12,personal,Yes
28,1,3,1,1,2,5234,30,leisure,No
25,0,2,1,1,2,1295,12,leisure,No
24,0,2,1,1,1,4308,48,investment,No
22,0,2,1,1,2,1567,12,personal,Yes
60,1,1,1,1,1,1199,24,leisure,No
28,0,2,1,1,1,1403,15,leisure,Yes
32,0,1,1,2,1,1282,24,personal,No
53,1,2,1,0,0,2424,24,personal,Yes
25,1,2,1,0,1,8072,30,investment,Yes
44,0,3,0,1,2,12579,24,leisure,No
31,1,2,1,4,0,3430,24,personal,Yes
48,1,2,1,1,0,2134,9,leisure,Yes
44,1,2,1,4,1,2647,6,personal,Yes
48,1,1,1,1,1,2241,10,leisure,Yes
44,1,2,1,2,2,1804,12,leisure,Yes
26,1,2,1,0,0,2069,10,personal,Yes
36,1,1,1,1,1,1374,6,personal,Yes
39,1,1,1,1,0,426,6,personal,Yes
42,0,2,1,3,3,409,12,personal,Yes
34,1,2,1,1,2,2415,7,personal,Yes
63,1,2,1,1,1,6836,60,investment,No
36,1,2,1,3,2,1913,18,investment,Yes
27,1,2,1,1,1,4020,24,personal,Yes
30,1,2,1,2,2,5866,18,leisure,Yes
57,1,1,1,0,0,1264,12,investment,Yes
33,0,3,1,1,3,1474,12,personal,Yes
25,1,1,1,1,2,4746,45,personal,No
31,1,2,0,1,0,6110,48,investment,Yes
37,1,2,1,1,3,2100,18,personal,No
37,1,2,1,1,3,1225,10,personal,Yes
24,1,2,1,1,2,458,9,personal,Yes
30,1,3,1,4,0,2333,30,personal,Yes
26,1,2,1,4,2,1158,12,personal,Yes
44,1,1,1,1,2,6204,18,personal,Yes
24,1,2,1,2,1,6187,30,leisure,Yes
58,0,1,0,1,1,6143,48,leisure,No
35,0,3,1,1,0,1393,11,leisure,Yes
39,1,2,1,4,0,2299,36,personal,Yes
23,0,0,1,4,1,1352,6,leisure,Yes
39,1,1,1,1,0,7228,11,leisure,Yes
28,0,2,1,2,0,2073,12,personal,Yes
29,1,1,1,0,2,2333,24,personal,Yes
30,1,3,1,1,2,5965,27,leisure,Yes
25,1,2,1,1,0,1262,12,personal,Yes
31,1,2,1,0,0,3378,18,leisure,Yes
57,1,2,0,1,2,2225,36,leisure,No
26,1,1,1,0,0,783,6,leisure,Yes
52,1,3,1,0,2,6468,12,personal,No
31,0,2,1,1,0,9566,36,personal,Yes
23,0,3,1,1,3,1961,18,leisure,Yes
23,0,1,1,1,1,6229,36,personal,No
27,1,2,1,1,2,1391,9,investment,Yes
50,1,2,1,0,2,1537,15,personal,Yes
61,1,3,0,1,2,1953,36,investment,No
25,1,2,1,1,2,14421,48,investment,No
26,0,2,1,1,0,3181,24,personal,Yes
48,1,2,1,0,0,5190,27,personal,Yes
29,0,2,1,1,0,2171,12,personal,Yes
22,1,2,1,3,2,1007,12,leisure,Yes
37,1,2,0,1,0,1819,36,investment,No
25,0,2,1,0,0,2394,36,personal,Yes
30,0,2,1,1,0,8133,36,leisure,Yes
46,1,1,1,0,0,730,7,personal,Yes
51,1,3,0,1,1,1164,8,leisure,Yes
41,0,1,1,1,2,5954,42,investment,Yes
40,1,3,1,0,1,1977,36,investment,No
66,1,3,0,1,1,1526,12,leisure,Yes
34,1,2,1,1,1,3965,42,personal,No
51,1,2,1,1,2,4771,11,personal,Yes
39,1,1,1,0,0,9436,54,leisure,Yes
