NAICS,Term,NoEmp,NewExist,CreateJob,RetainedJob,UrbanRural,RevLineCr,GrAppv,SBA_Appv,New,RealEstate,Portion,Recession,daysterm,xx,Default
RentalLeasing,36,1,Existing,0,0,Unknown,Yes,30000,15000,0,0,0.5,0,1080,16175.0,No
RealEstateServices,56,1,Existing,0,0,Unknown,Yes,30000,15000,0,0,0.5,1,1680,17658.0,No
RealEstateServices,36,10,Existing,0,0,Unknown,Yes,30000,15000,0,0,0.5,0,1080,16298.0,No
RealEstateServices,36,6,Existing,0,0,Unknown,Yes,50000,25000,0,0,0.5,0,1080,16816.0,No
RealEstateServices,240,65,Existing,3,65,Urban,Unknown,343000,343000,0,1,1.0,0,7200,24103.0,No
RealEstateServices,84,1,Existing,0,0,Unknown,Yes,50000,25000,0,0,0.5,0,2520,18345.0,No
RealEstateServices,269,2,Existing,0,2,Urban,Unknown,297500,223125,0,1,0.75,0,8070,24930.0,Yes
RealEstateServices,84,1,New,2,1,Rural,Yes,30000,15000,1,0,0.5,0,2520,19380.0,No
RealEstateServices,22,5,Existing,0,0,Urban,No,50000,25000,0,0,0.5,0,660,16943.0,Yes
RealEstateServices,84,4,New,0,0,Urban,Yes,10000,5000,1,0,0.5,0,2520,18834.0,No
RentalLeasing,64,6,Existing,0,0,Urban,Yes,50000,25000,0,0,0.5,0,1920,18234.0,Yes
RealEstateServices,84,1,Existing,0,0,Urban,Yes,14000,7000,0,0,0.5,0,2520,18834.0,No
RealEstateServices,84,12,Existing,0,0,Urban,Yes,25000,12500,0,0,0.5,0,2520,18834.0,No
RealEstateServices,76,2,New,0,2,Rural,Yes,30000,15000,1,0,0.5,0,2280,19201.0,Yes
RealEstateServices,60,8,Existing,0,0,Urban,Yes,30000,15000,0,0,0.5,0,1800,18114.0,No
RealEstateServices,60,13,New,7,20,Urban,Yes,25000,12500,1,0,0.5,0,1800,19025.0,No
RealEstateServices,84,1,Existing,0,0,Urban,Yes,20000,10000,0,0,0.5,0,2520,18834.0,No
RentalLeasing,300,15,Existing,0,0,Unknown,No,1000000,750000,0,1,0.75,0,9000,22634.0,No
RealEstateServices,38,2,New,0,0,Urban,Unknown,10000,5000,1,0,0.5,0,1140,17454.0,Yes
RentalLeasing,84,22,Existing,0,0,Urban,Yes,10000,5000,0,0,0.5,0,2520,18864.0,No
RealEstateServices,240,13,Existing,8,0,Urban,Unknown,79000,79000,0,1,1.0,0,7200,24194.0,No
RealEstateServices,240,13,Existing,8,0,Urban,Unknown,249000,249000,0,1,1.0,0,7200,24194.0,No
RentalLeasing,62,2,Existing,0,0,Urban,Unknown,10000,5000,0,0,0.5,0,1860,18204.0,Yes
RealEstateServices,84,3,New,0,3,Rural,Yes,30000,15000,1,0,0.5,0,2520,19380.0,No
RentalLeasing,84,3,Existing,0,0,Urban,Yes,20000,10000,0,0,0.5,0,2520,18864.0,No
RealEstateServices,67,12,Existing,0,0,Urban,No,50000,25000,0,0,0.5,0,2010,18385.0,Yes
RealEstateServices,32,5,Existing,0,0,Urban,Unknown,50000,25000,0,0,0.5,0,960,17486.0,No
RealEstateServices,84,4,Existing,0,0,Urban,No,10000,5000,0,0,0.5,0,2520,18895.0,No
RentalLeasing,84,3,Existing,0,0,Urban,No,25000,12500,0,0,0.5,0,2520,18925.0,No
Other,84,2,Existing,0,0,Urban,Yes,25000,12500,0,0,0.5,0,2520,18925.0,No
RealEstateServices,84,4,Existing,0,0,Urban,Yes,25000,12500,0,0,0.5,0,2520,18925.0,No
RealEstateServices,84,1,New,0,0,Urban,Yes,10000,5000,1,0,0.5,0,2520,18956.0,No
RentalLeasing,84,2,Existing,0,0,Rural,No,10000,5000,0,0,0.5,0,2520,18925.0,No
RealEstateServices,34,1,New,0,0,Urban,No,10000,5000,1,0,0.5,0,1020,17487.0,Yes
RealEstateServices,84,1,Existing,0,0,Urban,No,35000,17500,0,0,0.5,0,2520,18956.0,No
RentalLeasing,300,30,Existing,0,0,Unknown,Unknown,150500,112875,0,1,0.75,0,9000,22695.0,No
RentalLeasing,84,8,Existing,0,0,Urban,No,100000,50000,0,0,0.5,0,2520,18987.0,No
RealEstateServices,33,12,Existing,0,0,Urban,No,50000,25000,0,0,0.5,0,990,17426.0,Yes
RealEstateServices,84,3,Existing,0,0,Urban,Yes,50000,25000,0,0,0.5,0,2520,18956.0,No
RentalLeasing,4,2,Existing,0,0,Urban,No,12000,6000,0,0,0.5,0,120,16556.0,Yes
RealEstateServices,84,2,Existing,0,0,Rural,Yes,11000,5500,0,0,0.5,0,2520,19107.0,No
RealEstateServices,84,7,Existing,0,0,Urban,No,50000,25000,0,0,0.5,0,2520,18956.0,No
RealEstateServices,56,3,Existing,0,0,Urban,Yes,25000,12500,0,0,0.5,0,1680,18147.0,Yes
RealEstateServices,50,1,Existing,0,0,Urban,Yes,50000,25000,0,0,0.5,1,1500,17936.0,Yes
RealEstateServices,84,6,Existing,0,0,Urban,Yes,100000,50000,0,0,0.5,0,2520,18956.0,No
RealEstateServices,61,4,Existing,0,0,Urban,Unknown,10000,5000,0,0,0.5,0,1830,18266.0,Yes
RentalLeasing,42,7,Existing,0,0,Urban,No,100000,50000,0,0,0.5,1,1260,17696.0,Yes
RentalLeasing,42,10,Existing,0,0,Urban,No,100000,50000,0,0,0.5,1,1260,17696.0,Yes
RealEstateServices,84,4,Existing,0,4,Urban,Yes,50000,25000,0,0,0.5,0,2520,19015.0,No
RentalLeasing,84,18,Existing,2,18,Urban,No,50000,25000,0,0,0.5,0,2520,18987.0,No
RealEstateServices,49,3,Existing,2,3,Urban,Unknown,50000,25000,0,0,0.5,1,1470,18057.0,Yes
RealEstateServices,60,2,Existing,0,2,Urban,No,50000,25000,0,0,0.5,0,1800,18295.0,Yes
RentalLeasing,32,6,Existing,0,0,Unknown,Unknown,90000,72000,0,0,0.8,0,960,14655.0,Yes
RealEstateServices,84,2,Existing,0,2,Urban,Yes,10000,5000,0,0,0.5,0,2520,20082.0,No
RealEstateServices,84,58,Existing,4,58,Urban,No,100000,50000,0,0,0.5,0,2520,19015.0,No
RealEstateServices,53,2,Existing,1,2,Urban,Yes,25000,12500,0,0,0.5,0,1590,18085.0,Yes
RealEstateServices,19,1,New,0,1,Urban,Yes,10000,5000,1,0,0.5,0,570,17065.0,Yes
RealEstateServices,42,12,New,0,12,Urban,Unknown,10000,5000,1,0,0.5,1,1260,17755.0,Yes
RealEstateServices,240,13,Existing,6,13,Rural,Unknown,229000,229000,0,1,1.0,0,7200,24348.0,No
RealEstateServices,25,2,Existing,2,2,Rural,No,50000,25000,0,0,0.5,0,750,17245.0,Yes
RentalLeasing,84,4,Existing,0,4,Urban,Yes,50000,25000,0,0,0.5,0,2520,19015.0,No
RealEstateServices,84,4,Existing,1,4,Urban,No,50000,25000,0,0,0.5,0,2520,19015.0,No
RentalLeasing,28,1,Existing,0,1,Urban,Yes,15000,7500,0,0,0.5,0,840,17427.0,Yes
RentalLeasing,84,30,Existing,1,30,Rural,No,50000,25000,0,0,0.5,0,2520,19046.0,No
RentalLeasing,39,3,Existing,1,4,Urban,Yes,40000,20000,0,0,0.5,0,1170,18091.0,Yes
RentalLeasing,84,6,Existing,0,6,Urban,Yes,50000,25000,0,0,0.5,0,2520,19015.0,No
RentalLeasing,60,2,Existing,0,2,Urban,No,60000,30000,0,0,0.5,0,1800,18326.0,No
RealEstateServices,84,4,Existing,0,4,Urban,Yes,50000,25000,0,0,0.5,0,2520,19046.0,No
RentalLeasing,119,3,Existing,0,0,Unknown,No,100000,80000,0,0,0.8,0,3570,17235.0,No
