dataset,estimator,shift_type,cost_type,n_samples,method,parameter,prune_level,merge_level,validity (before),validity (after),cost,plausibility,sparsity,time,time per samples
FICO,XGBoost,split,tlps,100,Baseline,0.0,1.0,1,0.99,0.29,1.4109279447017946,0.4444208135711156,1.7676767676767675,0.7858469486236572,0.007858469486236572
FICO,XGBoost,split,tlps,100,Baseline,0.0,1.0,2,1.0,0.26,1.3420459920357748,0.4500281409373008,1.8900000000000006,7.900816917419434,0.07900816917419434
FICO,XGBoost,split,tlps,100,Baseline,0.0,0.5,1,0.99,0.32,1.5074977591851866,0.44261476284471446,1.727272727272727,0.4142768383026123,0.004142768383026123
FICO,XGBoost,split,tlps,100,Baseline,0.0,0.5,2,1.0,0.31,1.4743236756313016,0.45249623451222865,1.8600000000000003,4.477821350097656,0.04477821350097656
FICO,XGBoost,split,tlps,100,DiRARTE-W,1.5,1.0,1,0.96,0.39,3.5482738562140397,0.4488691318218665,2.5833333333333335,0.7537248134613037,0.007537248134613037
FICO,XGBoost,split,tlps,100,DiRARTE-W,2.0,1.0,1,0.83,0.43,5.371119480454002,0.4485346288881274,2.8674698795180724,0.7537248134613037,0.007537248134613037
FICO,XGBoost,split,tlps,100,DiRARTE-W,2.5,1.0,1,0.7,0.41,6.001647918034341,0.45037229010649366,3.0714285714285716,0.7537248134613037,0.007537248134613037
FICO,XGBoost,split,tlps,100,DiRARTE-W,3.0,1.0,1,0.55,0.43,9.135910321389773,0.45800990632613053,3.1272727272727274,0.7537248134613037,0.007537248134613037
FICO,XGBoost,split,tlps,100,DiRARTE-W,3.5,1.0,1,0.31,0.32,11.014399577950309,0.45703363837425925,3.2258064516129026,0.7537248134613037,0.007537248134613037
FICO,XGBoost,split,tlps,100,DiRARTE-W,1.5,1.0,2,1.0,0.36,3.1321599635176978,0.4486032147757997,2.78,7.628262996673584,0.07628262996673583
FICO,XGBoost,split,tlps,100,DiRARTE-W,2.0,1.0,2,1.0,0.48,4.1165391255902435,0.4507099171875631,3.1799999999999997,7.628262996673584,0.07628262996673583
FICO,XGBoost,split,tlps,100,DiRARTE-W,2.5,1.0,2,0.99,0.49,4.792646021188919,0.45111395648783426,3.5959595959595956,7.628262996673584,0.07628262996673583
FICO,XGBoost,split,tlps,100,DiRARTE-W,3.0,1.0,2,0.99,0.56,7.434522450705654,0.4555040051106631,4.090909090909091,7.628262996673584,0.07628262996673583
FICO,XGBoost,split,tlps,100,DiRARTE-W,3.5,1.0,2,0.93,0.66,9.747128059978824,0.4578928962404017,4.451612903225806,7.628262996673584,0.07628262996673583
FICO,XGBoost,split,tlps,100,DiRARTE-W,1.5,0.5,1,0.92,0.37,3.737822087907341,0.4567062351592773,2.467391304347826,0.4085502624511719,0.004085502624511719
FICO,XGBoost,split,tlps,100,DiRARTE-W,2.0,0.5,1,0.8,0.43,5.604401952005465,0.4548507354272789,2.8125000000000004,0.4085502624511719,0.004085502624511719
FICO,XGBoost,split,tlps,100,DiRARTE-W,2.5,0.5,1,0.63,0.39,6.70667810830903,0.45745797352829637,3.0,0.4085502624511719,0.004085502624511719
FICO,XGBoost,split,tlps,100,DiRARTE-W,3.0,0.5,1,0.44,0.37,8.93354260646146,0.4591254776129711,3.159090909090909,0.4085502624511719,0.004085502624511719
FICO,XGBoost,split,tlps,100,DiRARTE-W,3.5,0.5,1,0.25,0.28,10.054115812069659,0.45785549117957786,3.3200000000000003,0.4085502624511719,0.004085502624511719
FICO,XGBoost,split,tlps,100,DiRARTE-W,1.5,0.5,2,1.0,0.37,3.429269276196468,0.4437617863883219,2.8899999999999997,4.456545114517212,0.044565451145172116
FICO,XGBoost,split,tlps,100,DiRARTE-W,2.0,0.5,2,1.0,0.43,4.426343158703717,0.4423396708956491,3.4399999999999995,4.456545114517212,0.044565451145172116
FICO,XGBoost,split,tlps,100,DiRARTE-W,2.5,0.5,2,0.99,0.46,5.463953071233263,0.444650652486283,3.909090909090909,4.456545114517212,0.044565451145172116
FICO,XGBoost,split,tlps,100,DiRARTE-W,3.0,0.5,2,0.99,0.57,7.612053088804406,0.446118413700288,4.474747474747474,4.456545114517212,0.044565451145172116
FICO,XGBoost,split,tlps,100,DiRARTE-W,3.5,0.5,2,0.95,0.66,10.730631084708092,0.45659782346975547,4.526315789473685,4.456545114517212,0.044565451145172116
FICO,XGBoost,split,tlps,100,DiRARTE-X,0.02,1.0,1,0.96,0.41,3.473927357831599,0.43875148142708514,2.468749999999999,0.9288949966430664,0.009288949966430664
FICO,XGBoost,split,tlps,100,DiRARTE-X,0.04,1.0,1,0.87,0.49,5.336617509377426,0.4376764390715666,2.8850574712643673,0.9288949966430664,0.009288949966430664
FICO,XGBoost,split,tlps,100,DiRARTE-X,0.06,1.0,1,0.7,0.46,5.834760972430112,0.433137668179548,3.0857142857142854,0.9288949966430664,0.009288949966430664
FICO,XGBoost,split,tlps,100,DiRARTE-X,0.08,1.0,1,0.55,0.36,6.553716001854973,0.4359947083432617,3.109090909090909,0.9288949966430664,0.009288949966430664
FICO,XGBoost,split,tlps,100,DiRARTE-X,0.1,1.0,1,0.43,0.38,9.70489629258549,0.43401070960536353,3.302325581395349,0.9288949966430664,0.009288949966430664
FICO,XGBoost,split,tlps,100,DiRARTE-X,0.02,1.0,2,1.0,0.35,3.048260268116905,0.45172453912543814,2.7099999999999995,9.989887952804565,0.09989887952804566
FICO,XGBoost,split,tlps,100,DiRARTE-X,0.04,1.0,2,0.99,0.5,3.669154682622381,0.4512599943517334,3.070707070707071,9.989887952804565,0.09989887952804566
FICO,XGBoost,split,tlps,100,DiRARTE-X,0.06,1.0,2,0.99,0.52,5.2680248502551725,0.4521441923204924,3.5454545454545445,9.989887952804565,0.09989887952804566
FICO,XGBoost,split,tlps,100,DiRARTE-X,0.08,1.0,2,0.99,0.57,6.5061730101127875,0.4523005662691243,3.9292929292929286,9.989887952804565,0.09989887952804566
FICO,XGBoost,split,tlps,100,DiRARTE-X,0.1,1.0,2,0.98,0.6,8.938689336153391,0.45105768661140483,4.326530612244897,9.989887952804565,0.09989887952804566
FICO,XGBoost,split,tlps,100,DiRARTE-X,0.02,0.5,1,0.93,0.41,3.450018852495027,0.43602246384557575,2.462365591397849,0.5631678104400635,0.005631678104400635
FICO,XGBoost,split,tlps,100,DiRARTE-X,0.04,0.5,1,0.8,0.43,5.701695563212202,0.4351874890595573,2.8125,0.5631678104400635,0.005631678104400635
FICO,XGBoost,split,tlps,100,DiRARTE-X,0.06,0.5,1,0.6,0.43,6.120832171094674,0.4335660179183985,2.9166666666666665,0.5631678104400635,0.005631678104400635
FICO,XGBoost,split,tlps,100,DiRARTE-X,0.08,0.5,1,0.48,0.32,7.065185064401473,0.43076791932351455,2.979166666666667,0.5631678104400635,0.005631678104400635
FICO,XGBoost,split,tlps,100,DiRARTE-X,0.1,0.5,1,0.34,0.31,9.441197473260926,0.42576322485892043,3.4411764705882346,0.5631678104400635,0.005631678104400635
