dataset,estimator,cost_type,n_samples,method,validity,cost,plausibility,sparsity,time,time per samples
FICO,XGBoost,std,20,FT,1.0,1.5314192551567458,0.452228730988098,1.6,0.1408019065856933,0.0070400953292846
FICO,XGBoost,std,20,OAE,1.0,17.397363740984144,0.4904385505680599,11.000000000000002,3403.4545290470123,170.17272645235062
FICO,XGBoost,std,20,FOCUS (0.001),1.0,9.764436003938318,0.486362397874055,15.45,229.4222240447998,11.47111120223999
FICO,XGBoost,std,20,FOCUS (0.01),1.0,8.127516581863166,0.481529607348203,13.999999999999998,228.1233389377594,11.40616694688797
FICO,XGBoost,std,20,FOCUS (0.1),1.0,2.7015871023759246,0.469912211587747,8.15,230.38410019874573,11.519205009937286
FICO,XGBoost,std,20,FT++,1.0,1.3020585509452072,0.4605949286167068,1.5499999999999998,1.6220407485961914,0.0811020374298095
FICO,XGBoost,std,20,FT,1.0,1.5754360723161882,0.4485262880205202,1.5499999999999998,0.1584508419036865,0.0079225420951843
FICO,XGBoost,std,20,OAE,1.0,22.85044392635252,0.4955840506155756,14.0,3665.4816629886623,183.27408314943312
FICO,XGBoost,std,20,FOCUS (0.001),1.0,10.563581863464789,0.4845033737572951,16.05,223.76723504066467,11.188361752033234
FICO,XGBoost,std,20,FOCUS (0.01),1.0,8.771522168209776,0.4728617950668971,14.55,223.53986191749573,11.176993095874789
FICO,XGBoost,std,20,FOCUS (0.1),0.9,3.046506116994553,0.4566505330788167,8.555555555555555,224.3704059123993,11.218520295619964
FICO,XGBoost,std,20,FT++,1.0,1.510656993526212,0.4493752755756252,1.6,1.438857078552246,0.0719428539276123
FICO,XGBoost,std,20,FT,0.95,1.6329487920911887,0.452461038832961,1.7368421052631575,0.1755499839782714,0.0087774991989135
FICO,XGBoost,std,20,OAE,1.0,19.613545277631584,0.4744227722003102,12.05,3592.32820725441,179.6164103627205
FICO,XGBoost,std,20,FOCUS (0.001),1.0,12.768790815304964,0.5033435089485209,16.849999999999998,243.4154601097107,12.170773005485534
FICO,XGBoost,std,20,FOCUS (0.01),1.0,10.133613183302804,0.4756370562793558,15.3,243.65303421020508,12.182651710510251
FICO,XGBoost,std,20,FOCUS (0.1),0.85,3.201581847251338,0.4434726351243696,10.0,245.106703042984,12.2553351521492
FICO,XGBoost,std,20,FT++,1.0,1.5945945527697285,0.4539504090014278,1.95,1.444414138793945,0.0722207069396972
FICO,XGBoost,std,20,FT,1.0,1.7494889468363692,0.4466967358762159,2.0,0.1670629978179931,0.0083531498908996
FICO,XGBoost,std,20,OAE,1.0,16.380435761631322,0.488468711917116,11.55,3573.9517250061035,178.69758625030516
FICO,XGBoost,std,20,FOCUS (0.001),1.0,11.068950043991208,0.4963674817077738,16.1,240.25272274017337,12.012636137008666
FICO,XGBoost,std,20,FOCUS (0.01),1.0,9.104375706100836,0.4755382892429952,14.95,237.2535810470581,11.862679052352906
FICO,XGBoost,std,20,FOCUS (0.1),1.0,2.7437590554822235,0.4422302186289613,9.1,235.64566802978516,11.782283401489256
FICO,XGBoost,std,20,FT++,1.0,1.5363081616240335,0.4418902350244392,1.85,1.5445771217346191,0.0772288560867309
FICO,XGBoost,std,20,FT,1.0,1.2521265186955175,0.4418464063038325,1.4500000000000002,0.1589429378509521,0.0079471468925476
FICO,XGBoost,std,20,OAE,1.0,13.917482378503426,0.4766890930883467,9.3,3733.7812099456783,186.68906049728395
FICO,XGBoost,std,20,FOCUS (0.001),1.0,10.54771868661046,0.4823206968948432,16.05,222.3921902179718,11.11960951089859
FICO,XGBoost,std,20,FOCUS (0.01),1.0,8.154544744733721,0.4693518952455066,14.35,221.37545704841617,11.068772852420809
FICO,XGBoost,std,20,FOCUS (0.1),1.0,2.5569944201037287,0.4361588258401968,8.649999999999999,221.56955695152283,11.078477847576142
FICO,XGBoost,std,20,FT++,1.0,1.2316724351642634,0.4460531433818216,1.45,1.3157799243927002,0.065788996219635
Credit,XGBoost,std,20,FT,1.0,0.7497279596833589,0.4988764471094599,1.1,0.16510009765625,0.0082550048828125
Credit,XGBoost,std,20,OAE,1.0,3.95467850281682,0.5416908281900228,3.4000000000000004,3111.455722808838,155.5727861404419
Credit,XGBoost,std,20,FOCUS (0.001),1.0,9.014608426112682,0.5452709359516843,7.600000000000001,224.03398084640503,11.201699042320252
Credit,XGBoost,std,20,FOCUS (0.01),1.0,6.465666291106027,0.5204967875906722,6.55,223.8012821674347,11.190064108371734
Credit,XGBoost,std,20,FOCUS (0.1),0.9,1.5649518486461602,0.4905250714528777,3.5,223.8581898212433,11.192909491062164
Credit,XGBoost,std,20,FT++,1.0,0.7338326277616944,0.5000560518821335,1.1,1.024346113204956,0.0512173056602478
Credit,XGBoost,std,20,FT,1.0,0.7915709366890937,0.5052854197766439,1.05,0.1739468574523925,0.0086973428726196
Credit,XGBoost,std,20,OAE,1.0,4.195782560008764,0.5393163706199421,4.2,3554.2999629974365,177.71499814987183
Credit,XGBoost,std,20,FOCUS (0.001),1.0,8.18206179552799,0.521675897652247,7.5,250.21521925926208,12.510760962963104
Credit,XGBoost,std,20,FOCUS (0.01),1.0,5.997040396640659,0.5227422488200695,6.15,252.0180208683014,12.60090104341507
Credit,XGBoost,std,20,FOCUS (0.1),0.95,1.4507172012680185,0.4887753640538435,3.157894736842105,249.5394570827484,12.47697285413742
Credit,XGBoost,std,20,FT++,1.0,0.7850283396809564,0.5026181189747595,1.1,1.1599862575531006,0.057999312877655
Credit,XGBoost,std,20,FT,1.0,0.7585487635891897,0.4914342735801488,1.1,0.191788911819458,0.0095894455909729
Credit,XGBoost,std,20,OAE,1.0,4.192414906736468,0.5016527033770407,4.750000000000001,3554.504878759384,177.7252439379692
Credit,XGBoost,std,20,FOCUS (0.001),1.0,8.372689073969378,0.5226731040278147,7.2,261.54675793647766,13.077337896823884
Credit,XGBoost,std,20,FOCUS (0.01),1.0,6.945976531626366,0.5253145739455289,6.2,260.543842792511,13.02719213962555
Credit,XGBoost,std,20,FOCUS (0.1),0.95,2.2719090622742537,0.4841187072609805,3.578947368421052,258.6166100502014,12.930830502510071
Credit,XGBoost,std,20,FT++,1.0,0.7585487635891897,0.5005474179635626,1.1,1.1247050762176514,0.0562352538108825
Credit,XGBoost,std,20,FT,1.0,0.8697544455336026,0.5021610357009758,1.1500000000000004,0.1571829319000244,0.0078591465950012
Credit,XGBoost,std,20,OAE,1.0,4.9420134961840505,0.5409515158888968,4.45,3593.1257541179657,179.65628770589828
Credit,XGBoost,std,20,FOCUS (0.001),1.0,7.615238292524009,0.52575883836343,7.449999999999999,243.37184309959412,12.168592154979706
Credit,XGBoost,std,20,FOCUS (0.01),1.0,5.461915367374604,0.5246430859225792,6.2,239.4471309185028,11.97235654592514
Credit,XGBoost,std,20,FOCUS (0.1),0.85,2.0115661846716915,0.4950237442694006,3.647058823529412,241.39794206619263,12.069897103309632
Credit,XGBoost,std,20,FT++,1.0,0.8645601560514761,0.4971900408604844,1.2000000000000002,1.1153180599212646,0.0557659029960632
Credit,XGBoost,std,20,FT,1.0,0.7976105197208929,0.5162662295619965,1.1,0.2101650238037109,0.0105082511901855
Credit,XGBoost,std,20,OAE,1.0,3.8211906931872415,0.5335882246012011,3.7,3204.1387560367584,160.2069378018379
Credit,XGBoost,std,20,FOCUS (0.001),1.0,8.569888697801797,0.5360890904976517,7.5,246.12530899047852,12.306265449523924
Credit,XGBoost,std,20,FOCUS (0.01),1.0,6.0661803176612015,0.5345583507164087,5.95,246.45443296432495,12.322721648216248
Credit,XGBoost,std,20,FOCUS (0.1),0.95,2.0022437938896473,0.5096165507501704,3.578947368421052,245.21298789978027,12.260649394989011
Credit,XGBoost,std,20,FT++,1.0,0.7942804422342179,0.5149299975426265,1.1,1.1367990970611572,0.0568399548530578
German,XGBoost,std,20,FT,1.0,0.3630427150332164,0.5063322301412477,1.0,0.1146481037139892,0.0057324051856994
German,XGBoost,std,20,OAE,1.0,0.248840858914476,0.5032246591391494,1.2,292.1916010379791,14.609580051898956
German,XGBoost,std,20,FOCUS (0.001),1.0,5.290220320710796,0.5852997275004108,5.35,120.20534110069276,6.010267055034637
German,XGBoost,std,20,FOCUS (0.01),1.0,3.3436682038634897,0.5486787181795828,3.7,120.65819215774536,6.032909607887268
German,XGBoost,std,20,FOCUS (0.1),0.7,1.3485212837113068,0.5246762334892416,1.9285714285714284,120.69714117050172,6.034857058525086
German,XGBoost,std,20,FT++,1.0,0.3630427150332164,0.508599557763352,1.0,0.4659593105316162,0.0232979655265808
German,XGBoost,std,20,FT,1.0,0.5054339894992637,0.4930789437500846,1.2000000000000002,0.1278343200683593,0.0063917160034179
German,XGBoost,std,20,OAE,1.0,0.2509282816765676,0.4935700535189941,1.2000000000000002,309.7184958457947,15.485924792289731
German,XGBoost,std,20,FOCUS (0.001),1.0,6.45672116325004,0.5484726744740323,6.1000000000000005,118.20728588104248,5.910364294052124
German,XGBoost,std,20,FOCUS (0.01),1.0,3.0481878772116033,0.4954189696886377,3.85,118.57327103614809,5.928663551807404
German,XGBoost,std,20,FOCUS (0.1),0.7,1.0968651919621542,0.5098492594922966,2.071428571428571,118.83930897712708,5.941965448856354
