dataset,estimator,shift_type,cost_type,n_samples,method,parameter,validity (before),validity (after),cost,plausibility,sparsity,time,time per samples
FICO,XGBoost,split,tlps,1033,Baseline,0.0,1.0,0.25943852855759925,1.3408773883235199,0.449520522866452,1.834462729912875,73.04737091064453,0.07071381501514476
FICO,XGBoost,split,tlps,1033,RobX,0.5,0.9990319457889641,0.3998063891577928,7.2784459063058335,0.44179153457199355,14.972868217054264,365.7494878768921,0.35406533192341927
FICO,XGBoost,split,tlps,1033,RobX,0.55,1.0,0.4298160696999032,8.348141764535495,0.43953459290700436,15.000968054211036,365.7494878768921,0.35406533192341927
FICO,XGBoost,split,tlps,1033,RobX,0.6,1.0,0.4753146176185866,9.361748151775032,0.43842355486348306,15.077444336882865,365.7494878768921,0.35406533192341927
FICO,XGBoost,split,tlps,1033,RobX,0.65,1.0,0.5121006776379478,10.42720274829039,0.4379666587867609,15.065827686350435,365.7494878768921,0.35406533192341927
FICO,XGBoost,split,tlps,1033,RobX,0.7,0.9990319457889641,0.5721200387221684,11.528244876377,0.4373516765262335,15.111434108527131,365.7494878768921,0.35406533192341927
FICO,XGBoost,split,tlps,1033,BetaRobust,0.7,1.0,0.324298160696999,2.14958115715441,0.4481660543847822,2.265246853823814,182.0142421722412,0.17619965360333129
FICO,XGBoost,split,tlps,1033,BetaRobust,0.75,1.0,0.34462729912875123,2.4473945509559396,0.44845957182042334,2.4317521781219744,182.0142421722412,0.17619965360333129
FICO,XGBoost,split,tlps,1033,BetaRobust,0.8,1.0,0.35237173281703776,2.5184549185385676,0.4483249608586959,2.4840271055179093,182.0142421722412,0.17619965360333129
FICO,XGBoost,split,tlps,1033,BetaRobust,0.85,1.0,0.3552758954501452,2.57349579173521,0.4480582654225959,2.5121006776379478,182.0142421722412,0.17619965360333129
FICO,XGBoost,split,tlps,1033,BetaRobust,0.9,1.0,0.3659244917715392,2.6429378026106285,0.4480386596932722,2.566311713455953,182.0142421722412,0.17619965360333129
FICO,XGBoost,split,tlps,1033,DiRARTE-W,1.5,1.0,0.37560503388189737,2.973555503625703,0.4528233469356612,2.7957405614714417,74.61345601081848,0.0722298702912086
FICO,XGBoost,split,tlps,1033,DiRARTE-W,2.0,0.9990319457889641,0.45014520813165537,3.960822268532984,0.45394787488592736,3.194767441860465,74.61345601081848,0.0722298702912086
FICO,XGBoost,split,tlps,1033,DiRARTE-W,2.5,0.9980638915779284,0.5111326234269119,5.163452464665549,0.45642972511874425,3.64015518913676,74.61345601081848,0.0722298702912086
FICO,XGBoost,split,tlps,1033,DiRARTE-W,3.0,0.9835430784123911,0.5517909002904162,7.136133044182701,0.4593073555086467,4.151574803149607,74.61345601081848,0.0722298702912086
FICO,XGBoost,split,tlps,1033,DiRARTE-W,3.5,0.9303000968054211,0.5876089060987415,10.05025899693747,0.46225760888588946,4.5275754422476595,74.61345601081848,0.0722298702912086
FICO,XGBoost,split,tlps,1033,DiRARTE-X,0.02,1.0,0.3688286544046467,2.8722865147932475,0.44573870871303656,2.7241045498547916,103.11271905899048,0.09981870189640898
FICO,XGBoost,split,tlps,1033,DiRARTE-X,0.04,0.9990319457889641,0.46466602129719264,3.9448550147050145,0.44579777941985516,3.2093023255813953,103.11271905899048,0.09981870189640898
